Time, Sex_ratio, Time-in, Tm, Tf, Gift, RejPr, Offs, N
148,0.526000,0.404000,0.163760,1.000000,0.058935,0.277553,708,1000
149,0.507000,0.394000,0.163518,1.000000,0.049310,0.274790,729,1000
150,0.503000,0.367000,0.159845,1.000000,0.053678,0.270028,764,1000
151,0.490000,0.349000,0.153458,1.000000,0.065306,0.273512,814,1000
152,0.506000,0.368000,0.159183,1.000000,0.061265,0.284103,839,1000
153,0.499000,0.375000,0.160988,1.000000,0.056112,0.289313,736,1000
154,0.522000,0.393000,0.162856,1.000000,0.068966,0.299238,727,1000
155,0.504000,0.366000,0.163135,1.000000,0.071429,0.280507,756,1000
156,0.477000,0.347000,0.174489,1.000000,0.077568,0.272238,780,1000
157,0.500000,0.372000,0.174147,1.000000,0.068000,0.283859,795,1000
158,0.505000,0.383000,0.171647,1.000000,0.069307,0.296666,768,1000
159,0.518000,0.380000,0.167680,1.000000,0.059846,0.320974,758,1000
160,0.486000,0.363000,0.166246,1.000000,0.049383,0.302878,812,1000
161,0.491000,0.353000,0.152465,1.000000,0.052953,0.309709,757,1000
162,0.516000,0.367000,0.150326,1.000000,0.052326,0.328680,836,1000
163,0.508000,0.354000,0.150268,1.000000,0.072835,0.318105,876,1000
164,0.488000,0.358000,0.157936,1.000000,0.067623,0.308274,742,1000
165,0.489000,0.346000,0.159764,1.000000,0.067485,0.311102,867,1000
166,0.522000,0.379000,0.161186,1.000000,0.053640,0.323338,879,1000
167,0.531000,0.396000,0.160121,1.000000,0.052731,0.350273,771,1000
168,0.504000,0.363000,0.160740,1.000000,0.071429,0.330455,822,1000
169,0.507000,0.355000,0.158463,1.000000,0.072978,0.337171,887,1000
170,0.532000,0.385000,0.153977,1.000000,0.071429,0.367270,850,1000
171,0.518000,0.384000,0.157399,1.000000,0.061776,0.367184,800,1000
172,0.500000,0.368000,0.156494,1.000000,0.056000,0.336243,791,1000
173,0.504000,0.367000,0.157017,1.000000,0.059524,0.338991,899,1000
174,0.513000,0.359000,0.157353,1.000000,0.064327,0.356269,798,1000
175,0.525000,0.380000,0.155289,1.000000,0.070476,0.383137,820,1000
176,0.512000,0.369000,0.161699,1.000000,0.058594,0.386714,819,1000
177,0.516000,0.384000,0.162339,1.000000,0.062016,0.378376,718,1000
178,0.492000,0.370000,0.165471,1.000000,0.069106,0.345698,791,1000
179,0.500000,0.379000,0.164390,1.000000,0.056000,0.340326,805,1000
180,0.487000,0.349000,0.162233,1.000000,0.078029,0.320515,863,1000
181,0.502000,0.374000,0.163175,1.000000,0.077689,0.326287,758,1000
182,0.495000,0.369000,0.176319,1.000000,0.078788,0.329559,736,1000
183,0.523000,0.400000,0.168409,1.000000,0.078394,0.337160,705,1000
184,0.498000,0.355000,0.170365,1.000000,0.090361,0.305746,850,1000
185,0.470000,0.349000,0.166886,1.000000,0.063830,0.278405,682,1000
186,0.516000,0.394000,0.171766,1.000000,0.071705,0.308938,752,1000
187,0.498000,0.382000,0.169796,1.000000,0.064257,0.293699,738,1000
188,0.522000,0.399000,0.174543,1.000000,0.055556,0.309051,804,1000
